id;date;entry;mood;timestamp
1;2025-07-21;../fake-data/blob/hipster.txt;HAPPY;2025-07-21T19:08:28
2;2025-07-21;../fake-data/blob/hipster.txt;HOPEFUL;2025-07-21T19:51:51
3;2025-07-21;../fake-data/blob/hipster.txt;CONTENT;2025-07-22T05:36:08
4;2025-07-22;../fake-data/blob/hipster.txt;HOPEFUL;2025-07-21T14:29:43
5;2025-07-22;../fake-data/blob/hipster.txt;OTHER;2025-07-21T14:17:55
6;2025-07-21;../fake-data/blob/hipster.txt;REFLECTIVE;2025-07-21T15:10:22
7;2025-07-21;../fake-data/blob/hipster.txt;HOPEFUL;2025-07-21T16:22:32
8;2025-07-22;../fake-data/blob/hipster.txt;GRATEFUL;2025-07-21T12:37:16
9;2025-07-21;../fake-data/blob/hipster.txt;GRATEFUL;2025-07-21T17:28:38
10;2025-07-21;../fake-data/blob/hipster.txt;OTHER;2025-07-22T01:13:56
